ID,present,WC_alt,WC_bio1,WC_bio12,ER_tri,ER_thermicityIndex,lon,lat
1,1,34,12.899999618530273,969,22.809999465942383,294.5,-122.99965,38.088309
2,1,161,12.899999618530273,1166,36.470001220703125,289,-122.987777,38.395533
3,1,48,12.899999618530273,992,29.84000015258789,294,-122.986461,38.184133
4,1,283,10.600000381469727,1308,39.41999816894531,186,-123.248766,43.81997
5,1,159,11,1734,50.04999923706055,240.5,-124.028592,41.347069
6,1,112,12.899999618530273,1013,44.439998626708984,293.5,-122.879522,38.047263
7,1,1144,10.100000381469727,1661,109.16000366210938,104.5,-83.347098,35.522356
8,1,34,12.899999618530273,969,22.809999465942383,294.5,-122.922054,38.112274
9,1,2128,10.100000381469727,436,28.139999389648438,126.75,-105.62922,33.421233
10,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961728,46.878299
11,1,2346,9,511,62.619998931884766,97,-105.673513,33.335016
12,1,2573,2.4000000953674316,430,118.01000213623047,-104.5,-106.895911,39.241249
13,1,34,12.899999618530273,969,22.809999465942383,294.5,-122.941832,38.154937
14,1,932,3.200000047683716,579,57.060001373291016,-94.25,-116.088537,50.601242
15,1,590,7.300000190734863,2774,168.4499969482422,102,-123.949708,47.855728
16,1,218,15.800000190734863,310,43.66999816894531,302,-121.129093,37.10291
17,1,NA,NA,NA,NA,NA,-97.950435,27.2326
18,1,2142,7.5,417,177.05999755859375,50,-112.065988,36.029302
19,1,32,16.5,242,2.5799999237060547,312.75,-120.941224,37.163605
20,1,2346,9,511,62.619998931884766,97,-105.671184,33.335347
21,1,1816,4.400000095367432,457,40.849998474121094,-34.25,-111.023578,43.153703
22,1,31,12.699999809265137,970,22.299999237060547,291,-122.927401,38.030808
23,1,261,9.699999809265137,1302,32.040000915527344,158,-122.287575,46.86243
24,1,295,9.100000381469727,2277,44.5099983215332,164,-123.547028,45.9468
25,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961858,46.874284
26,1,1685,0.20000000298023224,561,123.22000122070312,-182.25,-115.493874,51.195363
27,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961728,46.878299
28,1,2346,9,511,62.619998931884766,97,-105.671758,33.339134
